"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"DomesticShippingCost";"RestofworldShippingCost";"ShippingProfile";"Value_of_unsellable_returns";"VAT";"VAT_CATEGORY";"Hide";"Marketplace";"BatchQuantity"
"B0FDQCBNZW";"ONM_ELEPHANT_02";"Friendship Elephant Ornament with Story Card, Gifts for Women, Friendship Birthday Gifts for Women, Birthday Presents for Best Friends Sisters Special Bond Decor (Sunflower Elephant)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FR177TX3";"CR_ANGELS911";"Musemory Cross for Car Mirror Hanging Christian Gifts for Men, Women - Scan Phone for Daily Bible Verse Car Rearview Decor Accessories, He Will Order His Angels";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GCBYR6Z7";"VLT_LOVECOUPONS";"Musemory Love Coupons for Couples, Romantic Valentine Gift with 20 Fun Date Night Ideas & 9 Blank Coupons, Cute Love Coupon Book for Him or Her, Valentine Gift for Him";"#FBA";"";"2";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FVMB32R3";"ONM_ELEPHANT_MOON_03";"Elephant Ornament, Friendship Ornament with Story Card, for Daughter, Birthday Presents for Best Friends Sister";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FQZNFJ88";"CR_TRUSTGOD";"Musemory Cross for Car Mirror Hanging Christian Gifts for Men, Women - Scan Phone for Daily Bible Verse Car Rearview Decor Accessories, Valentines Day Gifts for Men Husband Women";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GW7GNJD2";"DESK-DECOR_BESTDADEVER";"Best Dad Ever Wooden Plaque Sign, Dad Gifts from Daughter, Father Daughter Keepsake, Fathers Day Gift for Dad, Desk Decor Sign";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FX413C8M";"ONM_RETIRED";"Officially Retired 2025 Ornament – Funny Retirement Gift for Men & Women – “Not My Problem Anymore” Christmas Tree Decoration with Plaid Bow – Coworker Leaving Gift, Office Farewell 2025";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FDQCC5MQ";"ONM_ELEPHANT";"Friendship Elephant Ornament with Story Card, Gifts for Women, Friendship Birthday Gifts for Women, Birthday Presents for Best Friends Sisters Special Bond Decor (Orange Wildflower Elephant)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F194KGJY";"HEARTJAR_MOM";"90 Love Notes for Mom in a Jar with NFC Keychain, Positive Affirmation Cards, Emotional Support Jar with Daily Affirmations for Women, Birthday Gifts for Mom, Mom Gifts from Daughters";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0DT4QJWHQ";"bible jar_nfc";"Read Me When Bible Verse Jar, Bible Accessories, Prayer Jar, Graduation for Her, Christian Gift For Women, Teacher Gifts, Fathers Day Gift For Dad (Bible Jar Key Chain)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FS6B7BN2";"POSITIVEJAR_UNICORN";"Musemory Positive Unicorn Cards in Jar, Affirmation Cards For Women, Friendship Gift, Unicorn Gift, Positive Decor";"#FBA";"";"1.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H3V2KYGX";"bible jar_nfc";"Bible Jar With Keychain, Read Me When Bible Verse Jar, Bible Accessories, Prayer Jar, Graduation for Her, Christian Gift For Women, Teacher Gifts, Fathers Day Gift For Dad";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";"";""
"B0FTF3VZDH";"CROSSCAR_HEART_MATTHEW";"Musemory Cross for Car Mirror Hanging Christian Gifts for Men, Scan Phone for Daily Bible Verse Car Rearview Decor Accessories, Cross for Mirror, Gifts for Christian Men";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
